algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
du_pf_cognitive,10.0,11.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,35.180633544921875,-0.0018865715806665184,-0.0158730149269104,0.0
pf_fs_soft,10.0,12.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,23.326873779296875,-0.003142363227681577,-0.03968256711959839,-0.08333331346511841
pf_fs_cognitive,10.0,12.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.31982421875,-0.0057929140837981175,-0.05555558204650879,0.0
du_pf_soft,10.0,12.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,25.091796875,-0.004277174394706207,-0.023809492588043213,0.5000000149011612
du_pf_cognitive,10.0,12.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,2.936309814453125,-0.001991643117862263,0.0,-0.1666666865348816
pf_fs_soft,10.0,13.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,1.3275299072265625,-0.0051591078511501465,-0.007936537265777588,0.08333337306976318
pf_fs_cognitive,10.0,13.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.5953369140625,-0.004198713682831867,-0.05555558204650879,0.0
du_pf_soft,10.0,13.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-4.38006591796875,-0.0026595504084485633,0.0,-0.0833333432674408
du_pf_cognitive,10.0,13.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,5.055572509765625,-0.0030792337741193387,0.007936537265777588,0.0
pf_fs_soft,10.0,14.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,2.760009765625,-0.0019717616251554437,0.0,0.08333337306976318
pf_fs_cognitive,10.0,14.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,1.3236083984375,-0.0017056785450410006,-0.007936477661132812,0.0
du_pf_soft,10.0,14.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,9.564315795898438,-0.0032514210451101144,-0.007936537265777588,-0.1666666567325592
du_pf_cognitive,10.0,14.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,12.759368896484375,-0.0019310976594540952,-0.0158730149269104,-0.08333337306976318
pf_fs_soft,10.0,15.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-2.8737945556640625,-0.005662276941450495,-0.0317460298538208,0.0
pf_fs_cognitive,10.0,15.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-35.573455810546875,-0.0038193148167277036,-0.03968256711959839,0.0
du_pf_soft,10.0,15.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,2.250946044921875,-0.0030262512792402774,0.007936537265777588,-0.1666666567325592
